Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
8.33%     0.14%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
8.29%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::skiapipeline::SkiaPipeline::renderFrameImpl(SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode> > > const&, bool, android::uirenderer::Rect const&, SkCanvas*, SkMatrix const&)
7.85%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.lazy.layout.AndroidPrefetchScheduler.run
7.82%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.lazy.layout.PrefetchHandleProvider$HandleAndRequestImpl.execute
7.20%     0.02%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidUiDispatcher.performFrameDispatch
7.20%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.ui.platform.AndroidUiDispatcher.access$performFrameDispatch
7.17%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidUiFrameClock$withFrameNanos$2$callback$1.doFrame
7.05%     0.02%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.runtime.Recomposer$runRecomposeAndApplyChanges$2$1.invoke
6.42%     0.03%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!0e6b00ab8c4b112f9f6effa6a8b2b5!a1cf8ab5e3!
6.32%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrOpFlushState::preExecuteDraws()
6.29%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidComposeView.measureAndLayout-0kLqBqw
6.28%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrGLGpu::onWritePixels(GrSurface*, SkIRect, GrColorType, GrColorType, GrMipLevel const*, int, bool)
6.28%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrGLGpu::uploadTexData(SkISize, unsigned int, SkIRect, unsigned int, unsigned int, unsigned long, GrMipLevel const*, int)
6.28%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrGpu::writePixels(GrSurface*, SkIRect, GrColorType, GrColorType, GrMipLevel const*, int, bool)
6.26%     0.00%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!838e96e6042a39f699090106d8c25f!a1cf8ab5e3!
6.26%     0.00%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       glTexSubImage2D
6.23%     0.05%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!4ecf3032464df959aad423cba1a73c!a1cf8ab5e3!
6.23%     0.00%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!141e50cb152287019aff218176d094!a1cf8ab5e3!
6.22%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    std::__1::__function::__func<GrOpFlushState::doUpload(std::__1::function<void (std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&)>&, bool)::$_0, std::__1::allocator<GrOpFlushState::doUpload(std::__1::function<void (std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&)>&, bool)::$_0>, bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>::operator()(GrTextureProxy*&&, SkIRect&&, GrColorType&&, void const*&&, unsigned long&&) (.__uniq.202563907186678916635362162699847805487.037633dcadc00dc93e794510e21c4e09)
